Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Natural,Natural,20,31.6,38,350,0.49,170,1875,805,1075,200,2401,35.9,0,CO,NA,0.8,0,,
Crushed,Natural,20,36,38,350,0.56,195,1885,810,1075,120,2432,26.3,34.6,NA,NA,0,0,,
Crushed,Natural,20,36,38,350,0.56,195,1885,810,1075,120,2434,26.3,0,NA,NA,0,0,,
Crushed,Natural,20,35.8,38,350,0.5,175,1855,780,1075,100,2389,32.8,41.3,NA,NA,0,0,,
Crushed,Natural,20,31.9,38,350,0.54,190,1880,805,1075,125,2425,33.3,45.7,SI,NA,1,0,,
Crushed,Natural,20,35.8,38,350,0.5,175,1855,780,1075,100,2385,32.8,0,NA,NA,0,0,,
Crushed,Natural,20,31.9,38,350,0.54,190,1880,805,1075,125,2427,33.3,0,SI,NA,1,0,,
Natural,Natural,20,48.9,38,360,0.5,180,1840,775,1075,115,2386,24.8,0,NA,NA,0,0,,
Natural,Natural,20,48.7,38,350,0.49,170,1870,785,1085,200,2392,27.3,32.8,EU,NA,1,0,,
Natural,Natural,20,36.7,38,330,0.48,160,1910,820,1090,160,2405,30.8,34,R2,NA,0.7,0,,
Natural,Natural,20,36.7,38,330,0.48,160,1910,820,1090,160,2405,30.8,0,R2,NA,0.7,0,,
Crushed,Natural,20,31,38,350,0.53,185,1915,825,1090,160,2454,35.2,44.4,TY,NA,1,0,,
Crushed,Natural,20,31,38,350,0.53,185,1915,825,1090,160,2455,35.2,0,SP,NA,1,0,,
Natural,Natural,40,27.2,38,350,0.5,180,1850,760,1090,100,2384,19.4,0,NA,NA,0,0,,
Natural,Natural,40,15.6,38,350,0.5,175,1880,790,1090,120,2392,25.1,0,NA,NA,0,0,,
Natural,Natural,40,13.6,38,350,0.46,100,1890,795,1095,140,2406,32.9,39.3,SP,NA,3.5,0,,
Natural,Natural,40,15.6,38,350,0.46,160,1890,795,1095,140,2406,32.9,0,SB,NA,3.5,0,,
Natural,Natural,40,21.5,38,350,0.5,175,1855,755,1100,100,2386,27.2,32.8,NA,NA,0,0,,
